,threshold,precision_up,recall_up,f1_up,precision_dn,recall_dn,f1_dn,f1_mean
0,0.1,0.5,0.027,0.051,0.0,0.0,0.0,0.026
1,0.15,0.5,0.054,0.098,0.333,0.036,0.065,0.081
2,0.2,0.571,0.108,0.182,0.4,0.071,0.121,0.152
3,0.25,0.5,0.108,0.178,0.5,0.107,0.176,0.177
4,0.3,0.5,0.162,0.245,0.545,0.214,0.308,0.276
5,0.35,0.533,0.216,0.308,0.538,0.25,0.341,0.325
6,0.4,0.588,0.27,0.37,0.562,0.321,0.409,0.39
7,0.45,0.591,0.351,0.441,0.526,0.357,0.426,0.433
8,0.5,0.583,0.378,0.459,0.458,0.393,0.423,0.441
9,0.55,0.615,0.432,0.508,0.464,0.464,0.464,0.486
10,0.6,0.621,0.486,0.545,0.5,0.464,0.481,0.513
11,0.65,0.656,0.568,0.609,0.52,0.464,0.491,0.55
12,0.7,0.639,0.622,0.63,0.542,0.464,0.5,0.565
13,0.75,0.615,0.649,0.632,0.524,0.393,0.449,0.54
14,0.8,0.614,0.73,0.667,0.526,0.357,0.426,0.546
15,0.85,0.604,0.784,0.682,0.533,0.286,0.372,0.527
16,0.9,0.596,0.838,0.697,0.583,0.25,0.35,0.523
17,0.95,0.569,0.892,0.695,0.571,0.143,0.229,0.462
