월,국고채5년(평균),기준금리
2020-01,1.48,1.25
2020-02,1.36,1.25
2020-03,1.27,0.75
2020-04,1.26,0.75
2020-05,1.13,0.50
2020-06,1.13,0.50
2020-07,1.09,0.50
2020-08,1.09,0.50
2020-09,1.19,0.50
2020-10,1.20,0.50
2020-11,1.30,0.50
2020-12,1.32,0.50
2021-01,1.32,0.50
2021-02,1.35,0.50
2021-03,1.55,0.50
2021-04,1.58,0.50
2021-05,1.65,0.50
2021-06,1.70,0.50
2021-07,1.69,0.50
2021-08,1.65,0.75
2021-09,1.79,0.75
2021-10,2.15,0.75
2021-11,2.17,1.00
2021-12,1.98,1.00
2022-01,2.28,1.25
2022-02,2.50,1.25
2022-03,2.60,1.25
2022-04,3.14,1.50
2022-05,3.23,1.75
2022-06,3.65,1.75
2022-07,3.30,2.25
2022-08,3.30,2.50
2022-09,3.94,2.50
2022-10,4.29,3.00
2022-11,3.95,3.25
2022-12,3.59,3.25
2023-01,3.42,3.50
2023-02,3.47,3.50
2023-03,3.45,3.50
2023-04,3.25,3.50
2023-05,3.32,3.50
2023-06,3.55,3.50
2023-07,3.64,3.50
2023-08,3.77,3.50
2023-09,3.88,3.50
2023-10,4.14,3.50
2023-11,3.82,3.50
2023-12,3.37,3.50
2024-01,3.30,3.50
2024-02,3.39,3.50
2024-03,3.34,3.50
2024-04,3.50,3.50
2024-05,3.47,3.50
2024-06,3.28,3.50
2024-07,3.11,3.25
2024-08,2.95,3.00
2024-09,2.92,3.00
2024-10,2.97,3.00
2024-11,2.91,2.75
2024-12,2.68,2.75
2025-01,2.69,2.75
2025-02,2.71,2.50
2025-03,2.67,2.50
2025-04,2.49,2.50
2025-05,2.47,2.50
2025-06,2.60,2.50
